Path,True_Label,Predicted_Label
../dataset_labeled/-13.68/2/2024-11-01/05/273648_1730438068587495000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/05/285151_1730440517978659000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/05/275709_1730438522885989000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/05/277113_1730438806235021000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/05/285166_1730440531078631000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/05/270150_1730437209464372000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/05/283618_1730440155580268000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/05/277881_1730438973134422000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/05/284128_1730440254030145000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/05/273925_1730438112287434000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/05/284050_1730440224880231000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/05/280753_1730439575532316000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/05/276521_1730438696785442000.pcd,Passenger Car,Articulated Truck
../dataset_labeled/-13.68/2/2024-11-01/05/273699_1730438071787593000.pcd,Passenger Car,Articulated Truck
../dataset_labeled/-13.68/2/2024-11-01/05/284546_1730440390629398000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/335954_1730450796759758000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/330304_1730449883563774000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/325032_1730449108717615000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/08/339328_1730451294306860000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/323078_1730448729216870000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/328965_1730449688214559000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/336839_1730450947108735000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/08/332123_1730450170061140000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/323815_1730448864272812000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/08/337577_1730451058808132000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/321688_1730448482650170000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/08/339485_1730451342006791000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/331358_1730450062012971000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/319738_1730448043892967000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/323862_1730448866422997000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/08/333235_1730450367761358000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/320703_1730448258691742000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/08/340386_1730451534905944000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/08/340686_1730451570455770000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/337725_1730451079208177000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/329634_1730449805564015000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/08/327527_1730449457615462000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/340743_1730451575155853000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/326542_1730449336666437000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/08/330846_1730449976913183000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/320739_1730448265191828000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/330949_1730450006513383000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/324911_1730449087267760000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/08/323810_1730448864022776000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/08/327621_1730449471765715000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/08/323904_1730448870622905000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/04/265788_1730434910733140000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/04/267555_1730435861126143000.pcd,Passenger Car,Articulated Truck
../dataset_labeled/-13.68/2/2024-11-01/04/266465_1730435272078161000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/04/265531_1730434751883692000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/02/258998_1730428771366431000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/03/260016_1730430926329332000.pcd,Passenger Car,Articulated Truck
../dataset_labeled/-13.68/2/2024-11-01/03/263527_1730433596108159000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/09/346639_1730452661770120000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/09/348799_1730453055118412000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/09/346609_1730452657120202000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/09/350894_1730453397116813000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/09/346777_1730452698169862000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/09/346703_1730452672770160000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/09/346073_1730452544170954000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/09/349472_1730453164167971000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/07/305886_1730445046306245000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/07/315942_1730447339996101000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/07/305918_1730445053756225000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/07/306782_1730445240955179000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/07/316375_1730447458295719000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/07/314684_1730447117747420000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/07/316351_1730447451445928000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/07/303181_1730444444900580000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/07/314149_1730447027347836000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/07/318571_1730447796494230000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/07/316208_1730447420995938000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/07/314744_1730447140447044000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/07/314158_1730447030596467000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/07/314965_1730447174747046000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/07/317740_1730447664894761000.pcd,Passenger Car,Articulated Truck
../dataset_labeled/-13.68/2/2024-11-01/07/312064_1730446512500050000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/07/312590_1730446620899855000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/07/311447_1730446317901207000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/07/317217_1730447602945134000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/07/308434_1730445597304567000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/07/307532_1730445385004700000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/07/313280_1730446805648748000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/07/307843_1730445428354234000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/07/316215_1730447421545963000.pcd,Passenger Car,Articulated Truck
../dataset_labeled/-13.68/2/2024-11-01/00/254379_1730421151737045000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/00/253073_1730419469140675000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/06/301527_1730444125400471000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/06/302909_1730444366900587000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/06/299657_1730443695603966000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/06/291113_1730441766864999000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/06/290882_1730441738214505000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/06/294505_1730442562610289000.pcd,Passenger Car,Articulated Truck
../dataset_labeled/-13.68/2/2024-11-01/06/297262_1730443159006452000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/06/297828_1730443281605501000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/06/291775_1730441935463863000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/06/297077_1730443097157541000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/06/294389_1730442524160455000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/06/291024_1730441759963340000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/06/296219_1730442904008642000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/06/290506_1730441648916638000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-01/06/291184_1730441785814356000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/06/291352_1730441849964282000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/06/293351_1730442309611342000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/06/293576_1730442329661243000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-01/06/302383_1730444272650883000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-01/06/293699_1730442383610753000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-01/06/297101_1730443098806327000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/21/206126_1731016273493454000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-07/21/205465_1731015310996821000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/21/206292_1731016534942297000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/21/206447_1731016773941324000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/21/205847_1731015856745007000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/21/205453_1731015300146403000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-07/21/205914_1731015945444568000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/21/206391_1731016710191393000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/21/206201_1731016407342671000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/22/207598_1731018077829223000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/22/208962_1731019792773389000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/22/206882_1731017316653142000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/22/206715_1731017139261385000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-07/22/207267_1731017720029359000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/22/208988_1731019830423199000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/22/208477_1731019177625061000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-07/22/207225_1731017686279275000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/22/208072_1731018636176742000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/22/207022_1731017474734772000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-07/22/209257_1731020228721890000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-07/22/206923_1731017369756296000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/22/208400_1731019078675392000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/22/207362_1731017814929060000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/22/208663_1731019399573963000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-07/22/207435_1731017913130022000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/22/207926_1731018458177931000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-07/22/207311_1731017772080786000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/23/209760_1731021423289979000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/23/210056_1731022441189611000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-07/23/209781_1731021467339992000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/23/209858_1731021662791156000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/23/210189_1731023219686988000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-07/23/209477_1731020560720424000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/212672_1731042095694279000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/05/213755_1731043339986324000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/214911_1731044469629958000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/214197_1731043794932869000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/215430_1731045011627257000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/05/213782_1731043368284483000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/05/214662_1731044225381151000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/05/214340_1731043917182395000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/213058_1731042574339798000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/05/216005_1731045599124286000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/05/214994_1731044546429590000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/05/214265_1731043839483116000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/05/212717_1731042146743958000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/212977_1731042501440329000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/215249_1731044793527286000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/214020_1731043579635031000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/05/213639_1731043206886587000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/05/215637_1731045209876211000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-08/05/214124_1731043700733314000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/215070_1731044627479529000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/214700_1731044267430842000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/05/212783_1731042219743479000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/215939_1731045545674766000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/05/213892_1731043487385460000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/05/213578_1731043157936819000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/05/215679_1731045245326298000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/11/233346_1731064638187219000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/11/233280_1731064533993516000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/11/233093_1731064315344921000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/11/232888_1731064052375561000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/11/232989_1731064161633840000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/11/232714_1731063843853550000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/11/233116_1731064346894154000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/11/233189_1731064420994757000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/11/232721_1731063850804109000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/11/232533_1731063600299104000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/11/232657_1731063757597163000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/11/232976_1731064138932305000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/11/233328_1731064616837483000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/223147_1731053185985717000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/223560_1731053643888127000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/225701_1731055927427286000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-08/08/225720_1731055943627015000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/226057_1731056273725742000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/223495_1731053584037489000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/225482_1731055674178525000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/223815_1731053972186759000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/223285_1731053367112368000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/225607_1731055806427855000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/225893_1731056088076405000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/224317_1731054546633863000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/225500_1731055700928367000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/08/225072_1731055251180266000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/225364_1731055513078276000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/223913_1731054078536365000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/223045_1731053091685217000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/223244_1731053301402088000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/224831_1731055014531610000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/224873_1731055061581085000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/226155_1731056367925247000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/224454_1731054679433216000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-08/08/223522_1731053606087278000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/225993_1731056189076204000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/223151_1731053194487101000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/225127_1731055292580288000.pcd,Passenger Car,Other Vehicles
../dataset_labeled/-13.68/2/2024-11-08/08/223973_1731054145735772000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/08/225663_1731055849027566000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/223953_1731054121585490000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/223779_1731053948685188000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/222876_1731052842836041000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/225446_1731055626778829000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/08/224445_1731054675733144000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/08/223620_1731053710337164000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/08/225276_1731055415129716000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/08/225381_1731055539379341000.pcd,Passenger Car,Bus
../dataset_labeled/-13.68/2/2024-11-08/08/223680_1731053786386674000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/10/230762_1731061591260097000.pcd,Passenger Car,Van
../dataset_labeled/-13.68/2/2024-11-08/10/232285_1731063284900397000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/10/231883_1731062876753778000.pcd,Passenger Car,Rigid Truck
../dataset_labeled/-13.68/2/2024-11-08/10/229442_1731060106113248000.pcd,Passenger Car,Van
